Date,Title,Company,Location,Salary_Min,Salary_Max,Salary_Avg,Salary_Is_Predicted,Category,Description,Word_Mode,URL
2025-05-20T20:09:50Z,Team Lead (Finance),Bloomberg,"London, UK",52996.15,52996.15,52996.15,1,IT Jobs,"Bloomberg runs on data. Our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In Data, we are responsible for delivering this data, news and analytics through innovative technology - quickly and accurately. We apply problem-solving skills to identify innovative workflow efficiencies, and we implement technology solutions to enhance our systems, products and processes. Our Team: Using inn…",Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208043615?se=OokaBa818BGOFfzmRSZXLA&utm_medium=api&utm_source=25f3af84&v=E69D218C89FCCF205551FEEE73C60ACF0270294A
2025-05-20T20:09:11Z,Data Analyst,Corecom Consulting,"Leeds, West Yorkshire",50000.0,50000.0,50000.0,0,IT Jobs,"Data Analyst - Up to £50,000  Hybrid Working (3 Days Onsite) ?? Leeds City Centre | ?? SQL | Excel | Power BI | Python Are you a data-driven thinker who loves turning numbers into insights? We're hiring a Data Analyst to join a growing team based in Leeds City Centre, offering a hybrid setup with 3 days a week onsite . In this role, you'll be working closely with business stakeholders to clean, analyse, and interpret data , uncover trends, and deliver actionable insights that support smart deci…",Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208043126?se=OokaBa818BGOFfzmRSZXLA&utm_medium=api&utm_source=25f3af84&v=5374F9B49F506321207BD2ACF6907A104B480918
2025-05-20T19:49:22Z,Junior Data Analyst,Vehicle Data Global Ltd.,"Chesterfield, Derbyshire",24000.0,24000.0,24000.0,0,IT Jobs,"Junior Data Analyst / Starting salary of £24,000 (with a review after 6 months) Chesterfield | Full-time Are you passionate about data and fascinated by cars and road vehicles? Ready to take the next step in your analytics career? We're looking for a detail-driven Junior Data Analyst to join our growing team at Vehicle Data Global Ltd in Chesterfield! Why Join Us? At Vehicle Data Global, we power the UK's vehicle data industry. From cutting-edge VRM Lookup services to full vehicle history check…",Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208027025?se=OokaBa818BGOFfzmRSZXLA&utm_medium=api&utm_source=25f3af84&v=55EC0B4C2E325CFC09E2D67A0CA2BD33B6D68EDC
2025-05-20T19:49:22Z,Asset Data Analyst,Great Places Housing Association,"Chorlton Cum Hardy, Manchester",35000.0,35000.0,35000.0,0,IT Jobs,"Asset Data Analyst SalaryUp to £39,248 LocationDidsbury, Manchester Permanent,Full Time Reporting to the Data and Planning Manager, you will play a key role in supporting the delivery of Great Places Corporate Plan, Asset Management, and Sustainability Strategies. This roles primary responsibility is to provide research, analytical insights, and quality assurance across the organisation. You will ensure data accuracy and integrity, meeting both internal and external requirements. Effective coll…",Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208027024?se=OokaBa818BGOFfzmRSZXLA&utm_medium=api&utm_source=25f3af84&v=15CBF86CA33293A75E7EE3C11CD39E7C4B4885E6
2025-05-20T17:50:42Z,Healthcare Analyst (FTC),GlobalData PLC,"Fleet Street, Central London",43779.34,43779.34,43779.34,1,IT Jobs,"Who we are… GlobalData is a specialist information services business on a mission to help our clients decode the future, make better decisions and reach more customers. Using our unique data, expert analysis and innovative solutions we deliver intelligence on the world’s largest industries for companies, government organisations and industry professionals. We began our journey in 2016, by combining a diverse range of specialist information services companies, with decades of trusted customer re…",Onsite,https://www.adzuna.co.uk/jobs/details/5207674071?utm_medium=api&utm_source=25f3af84
2025-05-20T17:40:06Z,DATA ANALYST,Wrexham AFC,"Wrexham, Wales",25904.19,25904.19,25904.19,1,Teaching Jobs,"Job Purpose To play a key role in the development of Wrexham AFC Medical Performance team, helping to develop strategies and practices to enhance performance programming and player development. The role will work collaboratively across sports science, performance and medical to help develop a ‘best in class’, performance department. Main Responsibilities Lead on GPS data collection post training, games and matchdays and presenting this visually to management, players and performance department.…",Onsite,https://www.adzuna.co.uk/jobs/details/5207659809?utm_medium=api&utm_source=25f3af84
2025-05-20T17:40:06Z,Data Protection Analyst,SmartestEnergy Business,"Worthing, West Sussex",47134.89,47134.89,47134.89,1,IT Jobs,"Join our growing business in this brand new position where you will advise our SEBL Team and customers on Data Protection & Privacy. How will I spend my time in this role? Supporting and advising our SEBL Team and customers on SEBL data privacy matters; Maintaining and updating our data policies; Ongoing review of the SEBL's data processing activities and compliance with data privacy requirements; Developing and documenting training materials, policies, procedures and guidance to assist complia…",Onsite,https://www.adzuna.co.uk/jobs/details/5207659827?utm_medium=api&utm_source=25f3af84
2025-05-20T17:25:48Z,Remote Travel Business Development / Sales Coach - World 1 Franchise,RecruitmentRevolution.com,"Edinburgh Technopole, Milton Bridge",35000.0,35000.0,35000.0,0,Sales Jobs,"Want to make a difference?Want to be a part of the fastest-growing travel business in the UK?Want to join the world's 1 lifestyle franchise?Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more. Th…",Onsite,https://www.adzuna.co.uk/jobs/details/5207634043?utm_medium=api&utm_source=25f3af84
2025-05-20T17:25:48Z,Remote Travel Business Development / Sales Coach - World 1 Franchise,RecruitmentRevolution.com,"Leeds, West Yorkshire",35000.0,35000.0,35000.0,0,Sales Jobs,"Want to make a difference?Want to be a part of the fastest-growing travel business in the UK?Want to join the world's 1 lifestyle franchise?Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more. Th…",Onsite,https://www.adzuna.co.uk/jobs/details/5207634045?utm_medium=api&utm_source=25f3af84
2025-05-20T17:25:48Z,Market Data Admin and Compliance Support Analyst,Adecco,"London, UK",40522.3,40522.3,40522.3,1,IT Jobs,"Job Title: Market Data Admin and Compliance Support Analyst Location: London Contract Length: 6 Months About Our Client: Our client is a leading organisation in the financial services sector, dedicated to providing exceptional services while maintaining strict compliance and data integrity. They are currently seeking a detail-oriented and proactive Market Data Admin and Compliance Support Analyst to join their team on a six-month fixed-term contract. Role Overview: As a Market Data Admin and Co…",Onsite,https://www.adzuna.co.uk/jobs/details/5207634102?utm_medium=api&utm_source=25f3af84
