Country,Title,Company,Location,Salary_Min,Salary_Max,Salary_Avg,Salary_Is_Predicted,Category,Description,Created_At,Work_Mode,URL
GB,MS SQL DBA,Leidos,"St. James, Bristol",49839.19,49839.19,49839.19,1,IT Jobs,"Description MS SQL DBA Programme Name: LCST Location: Emersons Green, Bristol/Hybrid Duties and Responsibilities: Provides all activities related to the administration of MS SQL Server databases Projects long-range requirements for database administration and design in conjunction with other managers in the information systems function Designs, creates, and maintains databases in a client/server environment. Conducts quality control and auditing of databases in a client/server environment to en…",2025-05-20T20:14:46Z,Hybrid,https://www.adzuna.co.uk/jobs/land/ad/5208046823?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=0B2E6B65B0869B10C449AD3B4D864071015DA23D
GB,2nd Line Infrastructure Engineer,Leidos,"Abbots Ripton, Huntingdon",38444.16,38444.16,38444.16,1,IT Jobs,"Description 2nd Line Infrastructure Engineer Location: Huntingdon, UK (F/T On-site) Clearance: High level of security clearance required (DV- Developed Vetting) UNLEASH YOUR POTENTIAL We are looking for someone with a passion for infrastructure, ideally from an operational support services background. You will be self-motivated and be able to work autonomously to achieve day to day objectives with significant results on project or operational deliverables, whilst also owning a variety of activi…",2025-05-20T20:14:43Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046811?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=7F9F69A1F42B8E6B2C4679A8F415E082F3F901B9
GB,2nd Line Infrastructure Engineer,Leidos,"Abbots Ripton, Huntingdon",38444.16,38444.16,38444.16,1,IT Jobs,"Description 2nd Line Infrastructure Engineer Location: Huntingdon, UK (F/T On-site) Clearance: High level of security clearance required (DV 'Developed Vetting') UNLEASH YOUR POTENTIAL We are looking for someone with a passion for infrastructure, ideally from an operational support services background. You will be self-motivated and be able to work autonomously to achieve day to day objectives with significant results on project or operational deliverables, whilst also owning a variety of activ…",2025-05-20T20:14:43Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046812?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=67F5BCE64424C95D1C9A1CD1D66D8CEBBE7EFEE6
GB,English Teacher,Wayman Education,"Oaklands, St. Albans",31650.0,49084.0,49084.0,0,Teaching Jobs,"A wonderful opportunity is open for a dynamic English Teacher to teach a broad and ambitious curriculum at Key Stage 3 and Key Stage 4, with potential for A-Level specialism in English Language or Literature. The position suits someone with a deep enthusiasm for reading, writing, and analytical discussion. What’s Offered: * A well-established English department with collaborative planning structures * Opportunity to deliver English at A-Level for suitable candidates * Emphasis on academic rigou…",2025-05-20T20:14:32Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046719?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=007C0FF5D3EB6DE254573390968BDDE2A164DF06
GB,Teaching Assistant,Randstad Education,"Cuckfield, Haywards Heath",22100.0,23400.0,23400.0,0,Teaching Jobs,"Primary Teaching Assistant - Randstad Education Position: Primary Teaching Assistant Location: Burgess Hill Hours: Full-Time or Part-Time Contract Type: Permanent, Term-Time Only About the Role: Randstad Education is looking for enthusiastic and dedicated Primary Teaching Assistants to join our network of schools across West Sussex. As a Teaching Assistant, you will play a vital role in supporting the learning and development of children in primary education, working closely with teachers to cr…",2025-05-20T20:14:31Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046694?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=D055A1780D31349D5CE035288A3511E40608A9D3
GB,Teaching Assistant,Randstad Education,"Sompting, Lancing",22100.0,23400.0,23400.0,0,Teaching Jobs,"Are you passionate about fostering a safe, supportive, and engaging learning environment for children and young people? Do you want to play a key role in supporting a child's educational experience, providing personalised and enjoyable learning? If so, this is the perfect opportunity for you. Don't hesitate-apply today! We are seeking a dedicated Teaching Assistant to join our team at our school in Worthing. This full-time, term-time position is available to start immediately. Be a part of an e…",2025-05-20T20:14:31Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046684?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=8C00BE1FC9CE63D41CD3FB2B8C2E948F42ED65BB
GB,English Teacher,Wayman Education,"Pitsea, Basildon",31650.0,49084.0,49084.0,0,Teaching Jobs,"A fantastic opportunity has arisen for a committed and enthusiastic English Teacher to join a prestigious grammar school in Essex. This role offers the chance to deliver high-quality English lessons across Key Stage 3 and Key Stage 4, with the potential to specialise in A-Level English Literature or Language. The school is renowned for its academic success and has a strong commitment to ensuring that all teachers receive the support and resources they need to thrive. What We Offer: * A supporti…",2025-05-20T20:14:31Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046683?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=6C3B2DBC8D6AE82E7B0713DBDF766D8DDD0F14EC
GB,Science Teacher,Wayman Education,"Pampisford, Cambridge",31650.0,49084.0,49084.0,0,Teaching Jobs,"A fulfilling opportunity has arisen for a Science Teacher to deliver challenging and engaging Science education from Key Stage 3 through to Key Stage 4, with the potential for Key Stage 5 subject specialisation. Ideal for a teacher dedicated to helping students develop their understanding of scientific ideas and inquiry-based learning. What’s Offered: * Fully resourced laboratories and dedicated technician support * Strong leadership and clear academic direction * Opportunities to teach A-Level…",2025-05-20T20:14:30Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046680?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=D1ABC3165D61A147ED571B61307A0105ED9BB412
GB,primary teacher (sen),Randstad Education,"Sompting, Lancing",41860.0,76440.0,76440.0,0,Teaching Jobs,"Are you seeking a school that truly prioritises a safe, inclusive, and inspiring learning environment for every child? Then this opportunity could be perfect for you! This school places the needs, well-being, and development of its pupils at the heart of everything it does. As a fully inclusive setting, it is dedicated to supporting every student who comes through its doors. Want to join a team that makes a real difference every single day? Not only does this school champion its students-it als…",2025-05-20T20:14:29Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046642?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=4A5A782C6F93D80DE3DD2BF433C1D667AE875366
GB,Mathematics Teacher,Wayman Education,"Brent Cross, North West London",38766.0,60092.0,60092.0,0,Teaching Jobs,"A dedicated and inspiring Mathematics Teacher is required for a permanent full-time position at an Outstanding girls' school in Brent, commencing in September. This is an excellent opportunity to foster a love for mathematics and develop strong analytical and problem-solving skills in young women across Key Stages 3 and 4 (aged 11-16) within a supportive and high-achieving environment in West London. Responsibilities * You will plan and deliver engaging Mathematics lessons that challenge and in…",2025-05-20T20:14:29Z,Onsite,https://www.adzuna.co.uk/jobs/land/ad/5208046645?se=_mMOT6818BG7JofN3rWCew&utm_medium=api&utm_source=25f3af84&v=21158DD899FC76F56A15BC14A744C4FECE53A0C3
