Title,Company,Location,Salary_Min,Salary_Max,Salary_Avg,Salary_Is_Predicted,Category,Description,URL
Data Analyst / Senior Data Analyst,The Great & The Good,"London, UK",45000.0,55000.0,55000.0,0,"PR, Advertising & Marketing Jobs","Opportunity for an experienced Data Analyst / Senior Data Analyst to join an exceptional creative agency - one of the most awarded in the world - and take a deep dive into the detail of a major automotive brand (including electric vehicles). Working within a specialist data & insights team, your role will broadly involve: Analysing, measuring and interpreting super-interesting, complex reports across a blend of consumer behaviour, market trends and real-time sales data Identifying key insights …",https://www.adzuna.co.uk/jobs/land/ad/5197622543?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=15853D35D5C7680EFA205DF0A91981F866D3C1B6
Data Analyst,Morson Talent,"Baginton, Coventry",65000.0,91000.0,91000.0,0,IT Jobs,"Data Analyst 3 Month contract Inside IR35 Rates between £250-£350 per day Hybrid working from one of the regional offices based in East Midlands, Derbyshire, Birmingham or Shropshire. Can be fully remote. We are currently looking to recruit for 2 x Data Analysts for our client who are a major UK Water company. This will be working within the Capital & Commercial Services sustainability team with the aim of supporting the Engineering Design & Delivery Team in driving low carbon solutions for the…",https://www.adzuna.co.uk/jobs/land/ad/5200589486?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=DE18DA4D143219F32B842331FBDF0FC5ECEC7F4F
Data Analyst,DEBRA,"Binfield, Bracknell",45000.0,45000.0,45000.0,0,IT Jobs,"Are you a motivated and passionate individual looking to make a difference? DEBRA is recruiting for a Data Analyst to join our friendly, supportive team in our Bracknell, Head Office. Our new Data Analyst will join us on a Full Time, Permanent basis, working a contract of 35 hours per week, earning a salary of £45,000 per annum. This position requires a hybrid work model with 3 days spent in the office and 2 days working remotely. About DEBRA We are a national charity that supports individuals …",https://www.adzuna.co.uk/jobs/land/ad/5202379974?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=647FDB046B0730BF6CAC611C9AD3FB51D1C1B70B
Data Analyst,Arts & Humanities Research Council ,"Swindon, Wiltshire",35000.0,35000.0,35000.0,0,IT Jobs,"DATA ANALYST SALARY: £36,650 Per Annum HOURS: Full Time or Part Time (Minimum 0.7 FTE Per Week) CONTRACT TYPE: Open Ended (Permanent) LOCATION: Polaris House, Swindon, Wiltshire (Hybrid) CLOSING DATE: 26 May 25 TEAM INFORMATION The Portfolio Management and Insights team has a wide range or responsibilities within AHRC. The team includes the data function of AHRC which provides support and management of reporting and analysis capabilities, ensuring the organisation can draw the necessary insight…",https://www.adzuna.co.uk/jobs/land/ad/5198820835?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=9DACA7DBE7328FA03C6C27B56272DEF984E9EBB6
Data Analyst,Beiersdorf UK Ltd,"Birmingham International Airport, Birmingham",34264.53,34264.53,34264.53,1,Accounting & Finance Jobs,"At Beiersdorf, we want to help people feel good about their skin and our commitment goes far beyond caring for skin. For 140 years, we have developed innovative skin and body care products for well-known brands such as NIVEA, Eucerin and Elastoplast . The Data Analyst role is a support role to our Demand Planning team, you will support the analysis and interpretation of data to help forecast demand and improve inventory management. Your primary responsibility will be to assist in gathering, cle…",https://www.adzuna.co.uk/jobs/land/ad/5201803877?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=4727789C80D3F1A4DA0552CB1A4FE0E24BCF56EF
Sales Data Analyst - Excel Expert!,HAYS,"Basildon, Essex",37831.57,37831.57,37831.57,1,Admin Jobs,"Business Reporting & Sales Data Analyst JOB TITLE: Business Reporting & Development Analyst JOB LOCATION: Basildon, Essex JOB TYPE: Permanent JOB SALARY: £27000 - £35000 depending on experience, industry background and Excel skills JOB WORKING: Hybrid working - in the office 3 days per week, work from home 2 days per week JOB NOTES: You must have your own transport as our clients site is quite a long walk from the train station and the nearest bus stop. You MUST be an advanced user of Excel (pi…",https://www.adzuna.co.uk/jobs/land/ad/5162900654?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=8181504E5321B092358DFF53592933F506801CA9
Data Admin Specialist / Data Analyst,HAYS,"Chesterfield, Derbyshire",24500.0,29000.0,29000.0,0,IT Jobs,"Data Admin Specialist / Data Analyst required for permanent job in Chesterfield £24,500 - £29000 Your new company Working for a leading manufacturing business in Chesterfield, you will be part of a specialist data management team. The main purpose of the role will be to support the operational business with the analysis and management of master data sets. Key vacancy information -This position is based in Chesterfield S41, applicants will live in the local area - The role is permanent Based and…",https://www.adzuna.co.uk/jobs/land/ad/5171794375?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=7B787E9A0A57CF912935B6793A201A96F9AF7EA5
Marketing Data Analyst,Verisure,"Victoria, South West London",39345.36,39345.36,39345.36,1,"PR, Advertising & Marketing Jobs","MARKETING DATA ANALYST Verisure are looking for a Marketing Data Analyst reporting to the Marketing Director/ BI Director . This person will be responsible for data analytics (internal and external), creating analyses, dashboards, and reports to assist in measuring and optimising marketing performance. MARKETING DATA ANALYST - JD Verisure are looking for a Marketing Data Analyst reporting to the Marketing Director/ BI Director . This person will be responsible for data analytics (internal and e…",https://www.adzuna.co.uk/jobs/land/ad/5199042405?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=C2A01F759029C8A805C86DB7AB355AE721974EC4
Lead Data Analyst,McGregor Boyall Associates Limited,"Docklands, East London",182000.0,188500.0,188500.0,0,IT Jobs,"Lead Data Analyst - Wholesale Payments London We are seeking a highly experienced Lead Data Analyst to support the delivery of strategic control initiatives within a newly formed transformation team of a global financial institution. The team is responsible for implementing a robust risk and control framework across complex payment flows-including outgoing, incoming, and internal transfers-aimed at strengthening operational resilience and reducing risk. Key Details Start Date: ASAP Duration: Un…",https://www.adzuna.co.uk/jobs/land/ad/5186487161?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=A09DB711CEE5553942591E3795E8E0FD7BD3C672
Azure Data Analyst,Stott & May Professional Search Limited,"Windsor, Windsor & Maidenhead",117000.0,122200.0,122200.0,0,IT Jobs,"Data Analyst (azure) Start: ASAP Duration: initial 6-months Pay: inside IR35, up to £470 per day Location: Windsor (once per week on site) We are seeking an experienced Senior Data Analyst for a contract role focused on Smart Metering projects within the Energy Utilities sector. Key Responsibilities: - Interpret large and complex datasets to produce meaningful insights. - Collect, cleanse, and transform data from various sources within the Microsoft Azure ecosystem, ensuring data quality and co…",https://www.adzuna.co.uk/jobs/land/ad/5197013621?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=B1A87BF0348937027B25CD1F4E96C41590B6E652
