creation_date,job_title,country,category,salary_min,salary_max,salary_predicted,description,work_mode,skills,salary_min_raw,salary_max_raw,salary_avg,year
2025-05-20 20:09:50+00:00,Team Lead (Finance),GB,IT Jobs,52996.15,52996.15,1,"Bloomberg runs on data. Our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In Data, we are responsible for delivering this data, news and analytics through innovative technology - quickly and accurately. We apply problem-solving skills to identify innovative workflow efficiencies, and we implement technology solutions to enhance our systems, products and processes. Our Team: Using inn…",Onsite,r,52996.15,52996.15,52996.15,2025
2025-05-20 20:09:11+00:00,Data Analyst,GB,IT Jobs,50000.0,50000.0,0,"Data Analyst - Up to £50,000  Hybrid Working (3 Days Onsite) ?? Leeds City Centre | ?? SQL | Excel | Power BI | Python Are you a data-driven thinker who loves turning numbers into insights? We're hiring a Data Analyst to join a growing team based in Leeds City Centre, offering a hybrid setup with 3 days a week onsite . In this role, you'll be working closely with business stakeholders to clean, analyse, and interpret data , uncover trends, and deliver actionable insights that support smart deci…",Hybrid,"excel, power bi, python, r, sql",50000.0,50000.0,50000.0,2025
2025-05-20 19:49:22+00:00,Junior Data Analyst,GB,IT Jobs,24000.0,24000.0,0,"Junior Data Analyst / Starting salary of £24,000 (with a review after 6 months) Chesterfield | Full-time Are you passionate about data and fascinated by cars and road vehicles? Ready to take the next step in your analytics career? We're looking for a detail-driven Junior Data Analyst to join our growing team at Vehicle Data Global Ltd in Chesterfield! Why Join Us? At Vehicle Data Global, we power the UK's vehicle data industry. From cutting-edge VRM Lookup services to full vehicle history check…",Onsite,r,24000.0,24000.0,24000.0,2025
2025-05-20 19:49:22+00:00,Asset Data Analyst,GB,IT Jobs,35000.0,35000.0,0,"Asset Data Analyst SalaryUp to £39,248 LocationDidsbury, Manchester Permanent,Full Time Reporting to the Data and Planning Manager, you will play a key role in supporting the delivery of Great Places Corporate Plan, Asset Management, and Sustainability Strategies. This roles primary responsibility is to provide research, analytical insights, and quality assurance across the organisation. You will ensure data accuracy and integrity, meeting both internal and external requirements. Effective coll…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 17:50:42+00:00,Healthcare Analyst (FTC),GB,IT Jobs,43779.34,43779.34,1,"Who we are… GlobalData is a specialist information services business on a mission to help our clients decode the future, make better decisions and reach more customers. Using our unique data, expert analysis and innovative solutions we deliver intelligence on the world’s largest industries for companies, government organisations and industry professionals. We began our journey in 2016, by combining a diverse range of specialist information services companies, with decades of trusted customer re…",Onsite,r,43779.34,43779.34,43779.34,2025
2025-05-20 17:40:06+00:00,DATA ANALYST,GB,Teaching Jobs,25904.19,25904.19,1,"Job Purpose To play a key role in the development of Wrexham AFC Medical Performance team, helping to develop strategies and practices to enhance performance programming and player development. The role will work collaboratively across sports science, performance and medical to help develop a ‘best in class’, performance department. Main Responsibilities Lead on GPS data collection post training, games and matchdays and presenting this visually to management, players and performance department.…",Onsite,r,25904.19,25904.19,25904.19,2025
2025-05-20 17:40:06+00:00,Data Protection Analyst,GB,IT Jobs,47134.89,47134.89,1,"Join our growing business in this brand new position where you will advise our SEBL Team and customers on Data Protection & Privacy. How will I spend my time in this role? Supporting and advising our SEBL Team and customers on SEBL data privacy matters; Maintaining and updating our data policies; Ongoing review of the SEBL's data processing activities and compliance with data privacy requirements; Developing and documenting training materials, policies, procedures and guidance to assist complia…",Onsite,r,47134.89,47134.89,47134.89,2025
2025-05-20 17:25:48+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference?Want to be a part of the fastest-growing travel business in the UK?Want to join the world's 1 lifestyle franchise?Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more. Th…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 17:25:48+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference?Want to be a part of the fastest-growing travel business in the UK?Want to join the world's 1 lifestyle franchise?Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more. Th…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 17:25:48+00:00,Market Data Admin and Compliance Support Analyst,GB,IT Jobs,40522.3,40522.3,1,"Job Title: Market Data Admin and Compliance Support Analyst Location: London Contract Length: 6 Months About Our Client: Our client is a leading organisation in the financial services sector, dedicated to providing exceptional services while maintaining strict compliance and data integrity. They are currently seeking a detail-oriented and proactive Market Data Admin and Compliance Support Analyst to join their team on a six-month fixed-term contract. Role Overview: As a Market Data Admin and Co…",Onsite,r,40522.3,40522.3,40522.3,2025
